Year,Location,Total Sentences
2007,Taranaki/Whanganui Justice Service Area,4042
2007,Manawatū/Wairarapa Justice Service Area,4207
2007,Northern Wellington Justice Service Area,3907
2007,Wellington Justice Service Area,2584
2007,Nelson/Marlborough/West Coast Justice Service Area,3277
2007,Canterbury Justice Service Area,7408
2007,Otago Justice Service Area,3810
2007,Southland Justice Service Area,3072
2008,Total Regions,88402
2008,Te Tai Tokerau Justice Service Area,4640
2008,Auckland Justice Service Area,8126
2008,South Auckland Justice Service Area,10163
2008,Waikato Justice Service Area,6140
2008,Bay of Plenty Justice Service Area,5719
2008,Waiariki Justice Service Area,4417
2008,East Coast Justice Service Area,5955
2008,Taranaki/Whanganui Justice Service Area,4163
2008,Manawatū/Wairarapa Justice Service Area,4385
2008,Northern Wellington Justice Service Area,4380
2008,Wellington Justice Service Area,2923
2008,Nelson/Marlborough/West Coast Justice Service Area,3693
2008,Canterbury Justice Service Area,8714
2008,Otago Justice Service Area,3954
2008,Southland Justice Service Area,3189
2009,Total Regions,95070
2009,Te Tai Tokerau Justice Service Area,5300
2009,Auckland Justice Service Area,8673
2009,South Auckland Justice Service Area,11108
2009,Waikato Justice Service Area,6845
2009,Bay of Plenty Justice Service Area,6512
2009,Waiariki Justice Service Area,4830
2009,East Coast Justice Service Area,6019
2009,Taranaki/Whanganui Justice Service Area,4630
2009,Manawatū/Wairarapa Justice Service Area,4450
2009,Northern Wellington Justice Service Area,4619
2009,Wellington Justice Service Area,3265
2009,Nelson/Marlborough/West Coast Justice Service Area,3739
2009,Canterbury Justice Service Area,9661
2009,Otago Justice Service Area,4031
2009,Southland Justice Service Area,3180
2010,Total Regions,99768
2010,Te Tai Tokerau Justice Service Area,4684
2010,Auckland Justice Service Area,8830
2010,South Auckland Justice Service Area,11785
2010,Waikato Justice Service Area,7424
2010,Bay of Plenty Justice Service Area,6993
2010,Waiariki Justice Service Area,5278
2010,East Coast Justice Service Area,6544
2010,Taranaki/Whanganui Justice Service Area,4908
2010,Manawatū/Wairarapa Justice Service Area,4540
2010,Northern Wellington Justice Service Area,5070
2010,Wellington Justice Service Area,3302
2010,Nelson/Marlborough/West Coast Justice Service Area,4061
2010,Canterbury Justice Service Area,9860
2010,Otago Justice Service Area,4261
2010,Southland Justice Service Area,3512
2011,Total Regions,95402
2011,Te Tai Tokerau Justice Service Area,5098
2011,Auckland Justice Service Area,7928
2011,South Auckland Justice Service Area,11669
2011,Waikato Justice Service Area,6943
2011,Bay of Plenty Justice Service Area,6681
2011,Waiariki Justice Service Area,5079
2011,East Coast Justice Service Area,6067
2011,Taranaki/Whanganui Justice Service Area,4761
2011,Manawatū/Wairarapa Justice Service Area,4512
2011,Northern Wellington Justice Service Area,4504
2011,Wellington Justice Service Area,2879
2011,Nelson/Marlborough/West Coast Justice Service Area,4007
2011,Canterbury Justice Service Area,9739
2011,Otago Justice Service Area,3979
2011,Southland Justice Service Area,3302
2012,Total Regions,87140
2012,Te Tai Tokerau Justice Service Area,4854
2012,Auckland Justice Service Area,7558
2012,South Auckland Justice Service Area,11146
2012,Waikato Justice Service Area,6589
2012,Bay of Plenty Justice Service Area,5689
2012,Waiariki Justice Service Area,4592
2012,East Coast Justice Service Area,5836
2012,Taranaki/Whanganui Justice Service Area,4266
2012,Manawatū/Wairarapa Justice Service Area,4156
2012,Northern Wellington Justice Service Area,4340
2012,Wellington Justice Service Area,2390
2012,Nelson/Marlborough/West Coast Justice Service Area,3870
2012,Canterbury Justice Service Area,8060
2012,Otago Justice Service Area,3720
2012,Southland Justice Service Area,3046
2013,Total Regions,81153
2013,Te Tai Tokerau Justice Service Area,4362
2013,Auckland Justice Service Area,7191
2013,South Auckland Justice Service Area,10625
2013,Waikato Justice Service Area,6014
2013,Bay of Plenty Justice Service Area,4780
2013,Waiariki Justice Service Area,4244
2013,East Coast Justice Service Area,5502
2013,Taranaki/Whanganui Justice Service Area,3754
2013,Manawatū/Wairarapa Justice Service Area,3904
2013,Northern Wellington Justice Service Area,3891
2013,Wellington Justice Service Area,2226
2013,Nelson/Marlborough/West Coast Justice Service Area,3217
2013,Canterbury Justice Service Area,8889
2013,Otago Justice Service Area,3130
2013,Southland Justice Service Area,2798
2014,Total Regions,74717
2014,Te Tai Tokerau Justice Service Area,4040
2014,Auckland Justice Service Area,6866
2014,South Auckland Justice Service Area,10032
2014,Waikato Justice Service Area,5470
2014,Bay of Plenty Justice Service Area,4423
2014,Waiariki Justice Service Area,4078
2014,East Coast Justice Service Area,5320
2014,Taranaki/Whanganui Justice Service Area,3507
2014,Manawatū/Wairarapa Justice Service Area,3354
2014,Northern Wellington Justice Service Area,3351
2014,Wellington Justice Service Area,1789
2014,Nelson/Marlborough/West Coast Justice Service Area,2899
2014,Canterbury Justice Service Area,7834
2014,Otago Justice Service Area,2828
2014,Southland Justice Service Area,2458
2015,Total Regions,68774
2015,Te Tai Tokerau Justice Service Area,3784
2015,Auckland Justice Service Area,6389
2015,South Auckland Justice Service Area,9314
2015,Waikato Justice Service Area,5329
2015,Bay of Plenty Justice Service Area,4234
2015,Waiariki Justice Service Area,3503
2015,East Coast Justice Service Area,4809
2015,Taranaki/Whanganui Justice Service Area,3202
2015,Manawatū/Wairarapa Justice Service Area,3307
2015,Northern Wellington Justice Service Area,2946
2015,Wellington Justice Service Area,1642
2015,Nelson/Marlborough/West Coast Justice Service Area,2509
2015,Canterbury Justice Service Area,7139
2015,Otago Justice Service Area,2529
2015,Southland Justice Service Area,2210
2016,Total Regions,63680
2016,Te Tai Tokerau Justice Service Area,3817
2016,Auckland Justice Service Area,5479
2016,South Auckland Justice Service Area,8408
2016,Waikato Justice Service Area,5054
2016,Bay of Plenty Justice Service Area,3808
2016,Waiariki Justice Service Area,3387
2016,East Coast Justice Service Area,4294
2016,Taranaki/Whanganui Justice Service Area,2962
2016,Manawatū/Wairarapa Justice Service Area,3216
2016,Northern Wellington Justice Service Area,2909
2016,Wellington Justice Service Area,1595
2016,Nelson/Marlborough/West Coast Justice Service Area,2429
2016,Canterbury Justice Service Area,6518
2016,Otago Justice Service Area,2453
2016,Southland Justice Service Area,2195
2017,Total Regions,64566
2017,Te Tai Tokerau Justice Service Area,3890
2017,Auckland Justice Service Area,5236
