Year,Region,Median Rent,Geometric Mean Rent,Upper Quartile Rent,Lower Quartile Rent,Log Std Dev Weekly Rent,Total Sentences
1999,Wellington Region,163.9313725490196,160.4656862745098,196.15686274509804,133.83823529411765,0.32098039215686275,3429.5
2000,ALL,164.44117647058823,161.69607843137257,197.86764705882354,134.3186274509804,0.3181862745098039,75663.0
2000,Auckland Region,164.44117647058823,161.69607843137257,197.86764705882354,134.3186274509804,0.3181862745098039,8398.0
2000,Bay of Plenty Region,164.44117647058823,161.69607843137257,197.86764705882354,134.3186274509804,0.3181862745098039,4417.5
2000,Canterbury Region,164.44117647058823,161.69607843137257,197.86764705882354,134.3186274509804,0.3181862745098039,7171.0
2000,Gisborne Region,164.44117647058823,161.69607843137257,197.86764705882354,134.3186274509804,0.3181862745098039,4740.0
2000,Manawatu-Wanganui Region,164.44117647058823,161.69607843137257,197.86764705882354,134.3186274509804,0.3181862745098039,3448.0
2000,Marlborough Region,164.44117647058823,161.69607843137257,197.86764705882354,134.3186274509804,0.3181862745098039,3039.0
2000,Northland Region,164.44117647058823,161.69607843137257,197.86764705882354,134.3186274509804,0.3181862745098039,3561.0
2000,Otago Region,164.44117647058823,161.69607843137257,197.86764705882354,134.3186274509804,0.3181862745098039,3177.0
2000,Southland Region,164.44117647058823,161.69607843137257,197.86764705882354,134.3186274509804,0.3181862745098039,2533.0
2000,Taranaki Region,164.44117647058823,161.69607843137257,197.86764705882354,134.3186274509804,0.3181862745098039,3993.0
2000,Waikato Region,164.44117647058823,161.69607843137257,197.86764705882354,134.3186274509804,0.3181862745098039,5473.0
2000,Wellington Region,164.44117647058823,161.69607843137257,197.86764705882354,134.3186274509804,0.3181862745098039,3317.5
2001,ALL,167.58823529411765,165.25980392156862,202.57843137254903,136.5735294117647,0.3286764705882353,74064.0
2001,Auckland Region,167.58823529411765,165.25980392156862,202.57843137254903,136.5735294117647,0.3286764705882353,8248.0
2001,Bay of Plenty Region,167.58823529411765,165.25980392156862,202.57843137254903,136.5735294117647,0.3286764705882353,3943.0
2001,Canterbury Region,167.58823529411765,165.25980392156862,202.57843137254903,136.5735294117647,0.3286764705882353,6741.0
2001,Gisborne Region,167.58823529411765,165.25980392156862,202.57843137254903,136.5735294117647,0.3286764705882353,5173.0
2001,Manawatu-Wanganui Region,167.58823529411765,165.25980392156862,202.57843137254903,136.5735294117647,0.3286764705882353,3403.0
2001,Marlborough Region,167.58823529411765,165.25980392156862,202.57843137254903,136.5735294117647,0.3286764705882353,3040.0
2001,Northland Region,167.58823529411765,165.25980392156862,202.57843137254903,136.5735294117647,0.3286764705882353,3711.0
2001,Otago Region,167.58823529411765,165.25980392156862,202.57843137254903,136.5735294117647,0.3286764705882353,3006.0
2001,Southland Region,167.58823529411765,165.25980392156862,202.57843137254903,136.5735294117647,0.3286764705882353,2300.0
2001,Taranaki Region,167.58823529411765,165.25980392156862,202.57843137254903,136.5735294117647,0.3286764705882353,3592.0
2001,Waikato Region,167.58823529411765,165.25980392156862,202.57843137254903,136.5735294117647,0.3286764705882353,5316.0
2001,Wellington Region,167.58823529411765,165.25980392156862,202.57843137254903,136.5735294117647,0.3286764705882353,3435.0
2002,ALL,177.56372549019608,175.5392156862745,218.23529411764707,143.44607843137257,0.3450490196078432,74405.0
2002,Auckland Region,177.56372549019608,175.5392156862745,218.23529411764707,143.44607843137257,0.3450490196078432,7960.5
2002,Bay of Plenty Region,177.56372549019608,175.5392156862745,218.23529411764707,143.44607843137257,0.3450490196078432,4073.5
2002,Canterbury Region,177.56372549019608,175.5392156862745,218.23529411764707,143.44607843137257,0.3450490196078432,6765.0
2002,Gisborne Region,177.56372549019608,175.5392156862745,218.23529411764707,143.44607843137257,0.3450490196078432,5172.0
2002,Manawatu-Wanganui Region,177.56372549019608,175.5392156862745,218.23529411764707,143.44607843137257,0.3450490196078432,3535.0
2002,Marlborough Region,177.56372549019608,175.5392156862745,218.23529411764707,143.44607843137257,0.3450490196078432,2963.0
2002,Northland Region,177.56372549019608,175.5392156862745,218.23529411764707,143.44607843137257,0.3450490196078432,3895.0
2002,Otago Region,177.56372549019608,175.5392156862745,218.23529411764707,143.44607843137257,0.3450490196078432,3126.0
2002,Southland Region,177.56372549019608,175.5392156862745,218.23529411764707,143.44607843137257,0.3450490196078432,2441.0
2002,Taranaki Region,177.56372549019608,175.5392156862745,218.23529411764707,143.44607843137257,0.3450490196078432,3469.0
2002,Waikato Region,177.56372549019608,175.5392156862745,218.23529411764707,143.44607843137257,0.3450490196078432,5486.0
2002,Wellington Region,177.56372549019608,175.5392156862745,218.23529411764707,143.44607843137257,0.3450490196078432,3363.5
2003,ALL,194.74019607843138,191.69607843137257,240.72058823529412,156.38235294117646,0.36196078431372547,73876.0
2003,Auckland Region,194.74019607843138,191.69607843137257,240.72058823529412,156.38235294117646,0.36196078431372547,7520.0
2003,Bay of Plenty Region,194.74019607843138,191.69607843137257,240.72058823529412,156.38235294117646,0.36196078431372547,4373.0
2003,Canterbury Region,194.74019607843138,191.69607843137257,240.72058823529412,156.38235294117646,0.36196078431372547,6598.0
2003,Gisborne Region,194.74019607843138,191.69607843137257,240.72058823529412,156.38235294117646,0.36196078431372547,5412.0
2003,Manawatu-Wanganui Region,194.74019607843138,191.69607843137257,240.72058823529412,156.38235294117646,0.36196078431372547,3603.0
2003,Marlborough Region,194.74019607843138,191.69607843137257,240.72058823529412,156.38235294117646,0.36196078431372547,2912.0
2003,Northland Region,194.74019607843138,191.69607843137257,240.72058823529412,156.38235294117646,0.36196078431372547,3664.0
2003,Otago Region,194.74019607843138,191.69607843137257,240.72058823529412,156.38235294117646,0.36196078431372547,3198.0
2003,Southland Region,194.74019607843138,191.69607843137257,240.72058823529412,156.38235294117646,0.36196078431372547,2596.0
